id,category,question
CC1.1,Control Environment,Provide evidence that the organization has established a code of conduct or code of business ethics that is communicated to all employees. Include documentation of employee acknowledgment and training completion records.
CC1.2,Control Environment,Provide evidence of Board of Directors oversight of the cybersecurity program including meeting minutes or Audit Committee reports demonstrating security topics were reviewed during the audit period.
CC1.3,Control Environment,Provide the current organizational chart and documented reporting lines for security and IT functions. Include the CISO or equivalent role designation and reporting relationship.
CC1.4,Control Environment,Provide evidence of security awareness training completion rates for all employees during the audit period. Include training content overview and attestation records.
CC1.5,Control Environment,Provide evidence of annual performance reviews or accountability mechanisms that include security responsibilities for employees with privileged access or security roles.
CC2.1,Communication & Information,Provide your current information security policy and evidence it was reviewed and approved by management during the audit period. Include the policy version history and approval signatures.
CC2.2,Communication & Information,Provide evidence that security policies and procedures are communicated to all relevant employees. Include distribution records or acknowledgment tracking.
CC2.3,Communication & Information,Provide evidence of external communication mechanisms for reporting security issues or vulnerabilities. Include your responsible disclosure policy or external incident contact process.
CC3.1,Risk Assessment,Provide your most recent enterprise risk assessment document including identified risks, likelihood and impact ratings, and risk owners. Evidence should cover the full audit period.
CC3.2,Risk Assessment,Provide evidence of your formal risk identification and analysis process including methodology documentation and evidence the risk register was updated during the audit period.
CC3.3,Risk Assessment,Provide documentation of your fraud risk assessment process and evidence it was performed during the audit period. Include the identified fraud risks and mitigating controls.
CC3.4,Risk Assessment,Provide evidence of a process for identifying and assessing significant changes to the system environment during the audit period. Include examples of change risk assessments performed.
CC4.1,Monitoring Activities,Provide evidence of ongoing monitoring activities for internal controls including metrics, dashboards, or reports reviewed by management during the audit period.
CC4.2,Monitoring Activities,Provide evidence of a process for evaluating and remediating control deficiencies. Include any control deficiencies identified during the audit period and their resolution status.
CC5.1,Control Activities,Provide your change management policy and evidence it was followed during the audit period. Include examples of approved change requests with required approvals.
CC5.2,Control Activities,Provide evidence of technology general controls including documented procedures for IT operations. Include evidence of patch management, configuration management, and system hardening standards.
CC5.3,Control Activities,Provide evidence that control activities are deployed through policies and procedures. Include your policy management process and evidence policies are reviewed annually.
CC6.1,Logical Access,Provide a current listing of all user accounts with access to production systems including their role, privilege level, and when access was last reviewed. Include evidence of quarterly or semi-annual access reviews.
CC6.2,Logical Access,Provide evidence of your user access provisioning process including formal access request and approval workflow. Include examples of access provisioning tickets from the audit period.
CC6.3,Logical Access,Provide evidence of your access termination and modification process. Include evidence that terminated employee accounts were disabled within your SLA during the audit period. Pull active user list from Okta and cross-reference with HR termination dates.
CC6.4,Logical Access,Provide evidence of physical access controls for your data center or primary hosting facility. Include visitor access logs, badge access policy, and evidence of physical access reviews. If cloud-hosted, provide the subservice organization's physical security controls (AWS SOC 2 bridge letter or customer responsibility matrix).
CC6.5,Logical Access,Provide evidence that multi-factor authentication is enforced for all privileged and remote access. Include your MFA enrollment policy from your identity provider and a report of user MFA status.
CC6.6,Logical Access,Provide evidence of controls for external access to systems including VPN policy, remote access logs, and controls on mobile device access to corporate data.
CC6.7,Logical Access,Provide evidence of data transmission encryption controls including TLS configuration standards, certificate inventory, and evidence that data at rest is encrypted for sensitive data stores.
CC6.8,Logical Access,Provide evidence of anti-malware and endpoint detection and response (EDR) controls including current deployment coverage report and policy configuration. Include evidence of malware incident or detection alerts reviewed during the audit period.
CC7.1,System Operations,Provide evidence of vulnerability scanning and penetration testing performed during the audit period. Include scan results, identified vulnerabilities, and remediation status with SLA tracking.
CC7.2,System Operations,Provide evidence of security monitoring and alerting for anomalous system activity. Include your SIEM or logging configuration, alert rules, and evidence of alert investigation during the audit period.
CC7.3,System Operations,Provide evidence of your security incident identification and classification process. Include any security events or incidents logged during the audit period and how they were triaged.
CC7.4,System Operations,Provide your incident response plan and evidence of its implementation during the audit period. Include evidence of at least one incident response exercise or tabletop conducted.
CC7.5,System Operations,Provide evidence of post-incident review processes including root cause analysis documentation for any incidents during the audit period and lessons-learned records.
CC8.1,Change Management,Provide evidence that system changes are authorized, tested, and approved before deployment to production. Include your SDLC/change management policy and examples of change tickets with required approvals, test results, and deployment records from the audit period.
CC9.1,Risk Mitigation,Provide evidence of risk treatment and mitigation activities performed during the audit period. Include your risk register with treatment decisions (accept, mitigate, transfer, avoid) and status.
CC9.2,Risk Mitigation,Provide your third-party vendor security assessment policy and evidence it was applied during the audit period. Include your vendor inventory with risk tier assignments and evidence of security reviews for critical vendors.
A1.1,Availability,Provide evidence of capacity planning and performance monitoring for critical systems. Include current infrastructure capacity metrics and utilization reports.
A1.2,Availability,Provide evidence of business continuity and disaster recovery planning including your BCP/DRP documentation and evidence of a DR test performed during the audit period.
A1.3,Availability,Provide evidence of backup and recovery procedures including backup configuration, retention policy, and evidence of successful recovery tests during the audit period.
C1.1,Confidentiality,Provide your data classification policy and evidence it is applied to data in scope. Include your data inventory showing confidential data categories and protective controls.
C1.2,Confidentiality,Provide evidence of controls to protect confidential information throughout its lifecycle including disposal procedures and evidence of secure data deletion for decommissioned systems.
PI1.1,Processing Integrity,Provide evidence of input validation and error handling controls for critical data processing flows. Include code review evidence or automated testing results covering input validation.
PI1.2,Processing Integrity,Provide evidence of data quality controls and reconciliation processes to ensure complete and accurate processing. Include examples of reconciliation reports or exception handling logs.
